gts2020_id,ref,age_type,comment,MSWD,df,comment
Cb25,Waters and Condon (2012),206Pb/238U,wtd mean,1.07,3,
Cb24,Davydov et al. (2010),206Pb/238U,wtd mean,1.5,6,
Cb23,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.6,3,
Cb22,Pointon et al. (2012),206Pb/238U,wtd mean,0.7,4,
Cb21,Schmitz and Davydov (2012),206Pb/238U,wtd mean,2.8,4,
Cb20,Schmitz and Davydov (2012),206Pb/238U,wtd mean,2.3,3,
Cb19,Pointon et al. (2012),206Pb/238U,wtd mean,0.94,3,
Cb18,Jirasek et al. (2018),206Pb/238U,wtd mean,0.9,4,
Cb17,Jirasek et al. (2018),206Pb/238U,wtd mean,2.87,3,
Cb16,Jirasek et al. (2013),206Pb/238U,,,,Paper contains insufficient data to calculate an MSWD
Cb15,Jirasek et al. (2013),206Pb/238U,wtd mean,0.39,4,
Cb14,Davydov et al. (2010),206Pb/238U,wtd mean,2.6,7,
Cb13,Waters and Condon (2012),206Pb/238U,wtd mean,2.2,10,
Cb12,Gastaldo et al. (2009),206Pb/238U,wtd mean,1.4,4,
Cb11,Pointon et al. (2014),206Pb/238U,wtd mean,2.4,4,
Cb10,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.7,3,
Cb9,Pointon et al. (2014),206Pb/238U,wtd mean,0.16,2,
Cb8,Pointon et al. (2014),206Pb/238U,wtd mean,0.83,6,
Cb7,Jirasek et al. (2014),206Pb/238U,wtd mean,2.76,4,
Cb6,Davydov et al. (2010),206Pb/238U,wtd mean,1.9,6,
Cb5,Davydov et al. (2010),206Pb/238U,wtd mean,0.9,5,
Cb4,Davydov et al. (2010),206Pb/238U,wtd mean,1.2,5,
Cb3,Davydov et al. (2010),206Pb/238U,wtd mean,0.7,7,
Cb2,Davydov et al. (2011),206Pb/238U,,,,GSA abstract does not contain any actual data
Cb1,Davydov et al. (2011),206Pb/238U,,,,GSA abstract does not contain any actual data
D27,Myrow et al. (2014),206Pb/238U,wtd mean,0.35,5,
D26,Myrow et al. (2014),206Pb/238U,wtd mean,0.5,5,
D25,Davydov et al. (2011),206Pb/238U,,,,GSA abstract does not contain any actual data
D24,Selby and Creaser (2005),Re-Os,isochron,1.2,5,
D23,Tucker et al. (1998),206Pb/238U,wtd mean,1.23,4,
D22,Tucker et al. (1998),206Pb/238U,wtd mean,0.788,3,
D21,Turgeon et al. (2007),Re-Os,isochron,1.4,7,
D20,Turgeon et al. (2007),Re-Os,isochron,0.51,6,
D19,Percival et al. (2018),206Pb/238U,wtd mean,1.47,7,
D18,Lanik et al. (2016),206Pb/238U,wtd mean,0.39,5,
D17,Lanik et al. (2016),206Pb/238U,wtd mean,1.33,5,
D16,Lanik et al. (2016),206Pb/238U,wtd mean,0.99,6,
D15,Harrigan et al. (2022),206Pb/238U,wtd mean,3.1,7,
D14,Harrigan et al. (2022),206Pb/238U,wtd mean,2.3,6,
D13,Harrigan et al. (2022),206Pb/238U,wtd mean,1.6,8,
D12,Kaufmann et al. (2005),206Pb/238U,wtd mean,1.07,9,
D11,Bodorkos et al. (2017),206Pb/238U,,,,Paper contains insufficient data to calculate an MSWD
D10,Parry et al. (2011),206Pb/238U,wtd mean,0.12,3,
D9,Bodorkos et al. (2017),206Pb/238U,,,,Paper contains insufficient data to calculate an MSWD
D8,Bodorkos et al. (2017),206Pb/238U,,,,Paper contains insufficient data to calculate an MSWD
D7,Husson et al. (2016),206Pb/238U,,,,"Single grain, MSWD not defined"
D6,McAdams et al. (2017),206Pb/238U,wtd mean,0.66,5,
D5,Husson et al. (2016),206Pb/238U,,,,"Single grain, MSWD not defined"
D4,Husson et al. (2016),206Pb/238U,,,,"Single grain, MSWD not defined"
D3,Husson et al. (2016),206Pb/238U,,,,"Single grain, MSWD not defined"
D2,Husson et al. (2016),206Pb/238U,,,,"Single grain, MSWD not defined"
D1,Husson et al. (2016),206Pb/238U,,,,"Single grain, MSWD not defined"
S8,Cramer et al. (2015),206Pb/238U,,1.74,7,
S7,Cramer et al. (2015),206Pb/238U,,0.76,6,
S6,Cramer et al. (2012),206Pb/238U,,3.2,6,
S5,Cramer et al. (2012),206Pb/238U,,0.63,5,
S4,Cramer et al. (2012),206Pb/238U,,2.2,4,
S3,Cramer et al. (2012),206Pb/238U,,3.8,13,
S2,Bergstrom et al. (2008),206Pb/238U,,0.2,3,
S1,Tucker et al. (1990),206Pb/238U,wtd mean,1.28,5,
O42,Hu et al. (2008),206Pb/238U,wtd mean,1.21,17,
O41,Tucker et al. (1990),206Pb/238U,wtd mean,1.2,3,
O40,MacDonald et al. (2017),206Pb/238U,wtd mean,1.7,5,
O39,Taylor et al. (2015),206Pb/238U,wtd mean,1.4,7,
O38,MacDonald et al. (2017),206Pb/238U,wtd mean,2,6,
O37,MacDonald et al. (2017),206Pb/238U,wtd mean,1.1,5,
O36,MacDonald et al. (2017),206Pb/238U,wtd mean,1.3,7,
O35,MacDonald et al. (2017),206Pb/238U,wtd mean,1.7,4,
O34,Sell et al. (2013),206Pb/238U,wtd mean,3.1,3,
O33,Sell et al. (2013),206Pb/238U,wtd mean,1.3,9,
O32,Oruche et al. (2018),206Pb/238U,wtd mean,,,Hidden behind paywall
O31,,206Pb/238U,wtd mean,2.1,5,
O30,Sell et al. (2013),206Pb/238U,wtd mean,1.9,3,
O29,Sell et al. (2013),206Pb/238U,,,,
O28,Svensen et al. (2015),206Pb/238U,wtd mean,0.9,12,
O27,Sell et al. (2013),206Pb/238U,wtd mean,1.3,7,
O26,Sell et al. (2013),206Pb/238U,wtd mean,0.058,4,
O25,Svensen et al. (2015),206Pb/238U,wtd mean,1.5,10,
